0.065	0.745	177.334	86.834
0.066	0.746	177.345	86.849
0.067	0.746	177.373	86.857
0.068	0.746	177.391	86.871
0.069	0.748	177.425	86.946
0.07	0.748	177.425	87.003
0.071	0.749	177.503	87.004
0.072	0.75	177.719	87.013
0.073	0.75	177.748	87.067
0.074	0.75	177.775	87.094
0.075	0.75	177.853	87.099
0.076	0.751	177.877	87.103
0.077	0.752	178.057	87.181
0.078	0.752	178.144	87.259
0.079	0.754	178.15	87.265
0.08	0.754	178.241	87.271
0.081	0.754	178.261	87.279
0.082	0.756	178.278	87.297
0.083	0.756	178.303	87.299
0.084	0.757	178.316	87.324
0.085	0.758	178.317	87.384
0.086	0.759	178.328	87.464
0.087	0.759	178.606	87.488
0.088	0.76	178.607	87.51
0.089	0.763	178.664	87.514
0.09	0.763	178.704	87.578
0.091	0.763	178.744	87.643
0.092	0.764	179.064	87.686
0.093	0.765	179.067	87.773
0.094	0.767	179.161	87.811
0.095	0.769	179.177	87.924
0.096	0.772	179.209	87.925
0.097	0.773	179.214	87.965
0.098	0.773	179.324	87.994
0.099	0.773	179.397	88.002
0.1	0.776	179.4	88.014
0.101	0.776	179.423	88.026
0.102	0.777	179.446	88.056
0.103	0.778	179.491	88.091
0.104	0.779	179.607	88.096
0.105	0.779	179.641	88.15
0.106	0.78	179.67	88.181
0.107	0.781	179.67	88.219
0.108	0.782	179.703	88.249
0.109	0.782	179.728	88.291
0.11	0.782	179.759	88.33
0.111	0.783	179.857	88.362
0.112	0.784	179.868	88.391
0.113	0.785	179.889	88.396
0.114	0.785	179.903	88.4
0.115	0.785	179.919	88.436
0.116	0.786	179.957	88.438
0.117	0.786	179.98	88.445
0.118	0.787	179.999	88.446
0.119	0.788	180.033	88.491
0.12	0.788	180.057	88.509
0.121	0.788	180.058	88.52
0.122	0.788	180.062	88.556
0.123	0.79	180.137	88.564
0.124	0.79	180.173	88.571
0.125	0.79	180.232	88.587
0.126	0.791	180.312	88.606
0.127	0.792	180.343	88.617
0.128	0.792	180.392	88.647
0.129	0.793	180.42	88.674
0.13	0.794	180.427	88.682
0.131	0.795	180.43	88.693
0.132	0.795	180.44	88.728
0.133	0.795	180.529	88.749
0.134	0.797	180.551	88.762
0.135	0.797	180.574	88.779
0.136	0.799	180.629	88.789
