"forwarding graph"       9.544
"disjoint edge"            3.615
"loop free"                     2.552
"blackhole"                0.373


"Round 108"                      "Time (ms)"
"forwarding graph"       9.751
"disjoint edge"            3.758
"loop free"                     2.573
"blackhole"                0.478


"Round 109"                      "Time (ms)"
"forwarding graph"       9.768
"disjoint edge"            3.95
"loop free"                     2.731
"blackhole"                0.356


"Round 110"                      "Time (ms)"
"forwarding graph"       2.881
"disjoint edge"            3.215
"loop free"                     2.51
"blackhole"                0.427


"Round 111"                      "Time (ms)"
"forwarding graph"       10.441
"disjoint edge"            3.952
"loop free"                     2.688
"blackhole"                0.419


"Round 112"                      "Time (ms)"
"forwarding graph"       1.594
"disjoint edge"            10.497
"loop free"                     2.747
"blackhole"                0.613


"Round 113"                      "Time (ms)"
"forwarding graph"       10.607
"disjoint edge"            4.168
"loop free"                     2.689
"blackhole"                0.633


"Round 114"                      "Time (ms)"
"forwarding graph"       11.85
"disjoint edge"            4.955
"loop free"                     3.107
"blackhole"                0.485


"Round 115"                      "Time (ms)"
"forwarding graph"       9.116
"disjoint edge"            2.615
"loop free"                     2.254
"blackhole"                0.349


"Round 116"                      "Time (ms)"
"forwarding graph"       9.833
"disjoint edge"            4.131
"loop free"                     2.652
"blackhole"                0.367


"Round 117"                      "Time (ms)"
"forwarding graph"       10.527
"disjoint edge"            4.385
"loop free"                     2.793
"blackhole"                0.413


"Round 118"                      "Time (ms)"
"forwarding graph"       10.093
"disjoint edge"            4.438
"loop free"                     4.244
"blackhole"                0.419


"Round 119"                      "Time (ms)"
"forwarding graph"       10.219
"disjoint edge"            2.121
"loop free"                     2.776
"blackhole"                0.473


"Round 120"                      "Time (ms)"
"forwarding graph"       9.943
"disjoint edge"            4.296
"loop free"                     2.63
"blackhole"                0.392


"Round 121"                      "Time (ms)"
"forwarding graph"       10.164
"disjoint edge"            4.207
"loop free"                     2.707
"blackhole"                0.636


"Round 122"                      "Time (ms)"
"forwarding graph"       10.958
"disjoint edge"            3.958
"loop free"                     2.797
"blackhole"                0.511


"Round 123"                      "Time (ms)"
"forwarding graph"       11.1
"disjoint edge"            4.479
"loop free"                     2.768
"blackhole"                0.509


"Round 124"                      "Time (ms)"
"forwarding graph"       9.127
"disjoint edge"            3.138
"loop free"                     2.496
"blackhole"                0.344


"Round 125"                      "Time (ms)"
"forwarding graph"       10.195
"disjoint edge"            3.731
"loop free"                     2.62
"blackhole"                0.409


"Round 126"                      "Time (ms)"
"forwarding graph"       9.256
"disjoint edge"            3.265
"loop free"                     2.926
"blackhole"                0.435


"Round 127"                      "Time (ms)"
"forwarding graph"       9.526
"disjoint edge"            3.392
"loop free"                     2.486
"blackhole"                0.569


"Round 128"                      "Time (ms)"
"forwarding graph"       11.423
"disjoint edge"            5.95
"loop free"                     3.114
"blackhole"                0.468


"Round 129"                      "Time (ms)"
"forwarding graph"       9.016
"disjoint edge"            2.201
"loop free"                     1.86
"blackhole"                0.339


"Round 130"                      "Time (ms)"
"forwarding graph"       10.705
"disjoint edge"            4.219
"loop free"                     2.613
"blackhole"                0.361


"Round 131"                      "Time (ms)"
"forwarding graph"       10.438
"disjoint edge"            4.985
"loop free"                     2.749
"blackhole"                0.421


"Round 132"                      "Time (ms)"
"forwarding graph"       9.33
"disjoint edge"            3.302
"loop free"                     2.685
"blackhole"                0.676


"Round 133"                      "Time (ms)"
"forwarding graph"       9.877
"disjoint edge"            4.69
"loop free"                     2.836
"blackhole"                0.449


"Round 134"                      "Time (ms)"
"forwarding graph"       9.897
"disjoint edge"            4.007
"loop free"                     2.721
"blackhole"                0.419


"Round 135"                      "Time (ms)"
"forwarding graph"       9.501
"disjoint edge"            3.225
"loop free"                     2.554
"blackhole"                0.355


"Round 136"                      "Time (ms)"
"forwarding graph"       9.192
"disjoint edge"            7.882
"loop free"                     4.039
"blackhole"                0.473


"Round 137"                      "Time (ms)"
"forwarding graph"       9.835
"disjoint edge"            3.995
"loop free"                     2.64
"blackhole"                0.369


"Round 138"                      "Time (ms)"
"forwarding graph"       8.539
"disjoint edge"            2.805
"loop free"                     1.784
"blackhole"                0.347


