"forwarding graph"       0.808
"disjoint edge"            2.172
"loop free"                     1.653
"blackhole"                0.638


"Round 96"                      "Time (ms)"
"forwarding graph"       0.687
"disjoint edge"            1.881
"loop free"                     1.128
"blackhole"                0.33


"Round 97"                      "Time (ms)"
"forwarding graph"       0.702
"disjoint edge"            1.646
"loop free"                     1.163
"blackhole"                0.299


"Round 98"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.687
"loop free"                     2.225
"blackhole"                0.564


"Round 99"                      "Time (ms)"
"forwarding graph"       1.18
"disjoint edge"            2.571
"loop free"                     1.221
"blackhole"                0.323


"Round 100"                      "Time (ms)"
"forwarding graph"       0.684
"disjoint edge"            1.647
"loop free"                     1.174
"blackhole"                0.3


"Round 101"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            1.629
"loop free"                     1.251
"blackhole"                0.576


"Round 102"                      "Time (ms)"
"forwarding graph"       0.996
"disjoint edge"            2.406
"loop free"                     1.374
"blackhole"                0.324


"Round 103"                      "Time (ms)"
"forwarding graph"       0.9
"disjoint edge"            1.718
"loop free"                     1.212
"blackhole"                0.312


"Round 104"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.849
"loop free"                     1.197
"blackhole"                0.436


"Round 105"                      "Time (ms)"
"forwarding graph"       1.011
"disjoint edge"            1.619
"loop free"                     1.221
"blackhole"                0.317


"Round 106"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.634
"loop free"                     1.146
"blackhole"                0.635


"Round 107"                      "Time (ms)"
"forwarding graph"       0.733
"disjoint edge"            1.576
"loop free"                     1.18
"blackhole"                0.32


"Round 108"                      "Time (ms)"
"forwarding graph"       0.677
"disjoint edge"            2.041
"loop free"                     1.53
"blackhole"                0.746


"Round 109"                      "Time (ms)"
"forwarding graph"       1.252
"disjoint edge"            2.115
"loop free"                     1.449
"blackhole"                0.409


"Round 110"                      "Time (ms)"
"forwarding graph"       0.685
"disjoint edge"            2.036
"loop free"                     1.221
"blackhole"                0.347


"Round 111"                      "Time (ms)"
"forwarding graph"       0.682
"disjoint edge"            1.639
"loop free"                     1.179
"blackhole"                0.506


"Round 112"                      "Time (ms)"
"forwarding graph"       0.935
"disjoint edge"            1.738
"loop free"                     1.183
"blackhole"                0.309


"Round 113"                      "Time (ms)"
"forwarding graph"       0.639
"disjoint edge"            1.743
"loop free"                     1.199
"blackhole"                0.324


"Round 114"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.66
"loop free"                     1.24
"blackhole"                0.334


"Round 115"                      "Time (ms)"
"forwarding graph"       0.64
"disjoint edge"            1.648
"loop free"                     1.21
"blackhole"                0.623


"Round 116"                      "Time (ms)"
"forwarding graph"       0.862
"disjoint edge"            1.634
"loop free"                     1.274
"blackhole"                0.392


"Round 117"                      "Time (ms)"
"forwarding graph"       0.659
"disjoint edge"            2.028
"loop free"                     1.232
"blackhole"                0.318


"Round 118"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.639
"loop free"                     1.158
"blackhole"                0.298


"Round 119"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.635
"loop free"                     1.437
"blackhole"                0.742


"Round 120"                      "Time (ms)"
"forwarding graph"       0.941
"disjoint edge"            5.076
"loop free"                     4.03
"blackhole"                0.611


"Round 121"                      "Time (ms)"
"forwarding graph"       1.145
"disjoint edge"            2.314
"loop free"                     1.862
"blackhole"                0.507


"Round 122"                      "Time (ms)"
"forwarding graph"       0.767
"disjoint edge"            1.713
"loop free"                     1.184
"blackhole"                0.317


"Round 123"                      "Time (ms)"
"forwarding graph"       1.018
"disjoint edge"            1.709
"loop free"                     1.225
"blackhole"                0.313


"Round 124"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.525
"loop free"                     1.289
"blackhole"                0.315


"Round 125"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.621
"loop free"                     1.158
"blackhole"                0.325


"Round 126"                      "Time (ms)"
"forwarding graph"       1.229
"disjoint edge"            1.926
"loop free"                     1.17
"blackhole"                0.488


"Round 127"                      "Time (ms)"
"forwarding graph"       0.771
"disjoint edge"            1.627
"loop free"                     1.251
"blackhole"                0.313


"Round 128"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.688
"loop free"                     1.444
"blackhole"                0.6


"Round 129"                      "Time (ms)"
"forwarding graph"       1.003
"disjoint edge"            2.066
"loop free"                     1.182
"blackhole"                0.338


"Round 130"                      "Time (ms)"
"forwarding graph"       0.656
"disjoint edge"            1.737
"loop free"                     1.393
"blackhole"                0.318


"Round 131"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.981
"loop free"                     1.125
"blackhole"                0.417


"Round 132"                      "Time (ms)"
"forwarding graph"       0.891
"disjoint edge"            3.073
"loop free"                     1.82
"blackhole"                0.731


"Round 133"                      "Time (ms)"
"forwarding graph"       0.745
"disjoint edge"            1.754
"loop free"                     1.2
"blackhole"                0.32


"Round 134"                      "Time (ms)"
"forwarding graph"       0.65
"disjoint edge"            1.619
"loop free"                     1.176
"blackhole"                0.319


"Round 135"                      "Time (ms)"
"forwarding graph"       0.84
"disjoint edge"            2.016
"loop free"                     1.356
"blackhole"                0.549


"Round 136"                      "Time (ms)"
"forwarding graph"       0.873
"disjoint edge"            1.663
"loop free"                     1.186
"blackhole"                0.325


"Round 137"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.658
"loop free"                     1.176
"blackhole"                0.309


"Round 138"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.603
"loop free"                     1.185
"blackhole"                0.38


"Round 139"                      "Time (ms)"
"forwarding graph"       0.691
"disjoint edge"            1.767
"loop free"                     1.218
"blackhole"                0.307


"Round 140"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            2.034
"loop free"                     1.358
"blackhole"                0.321


"Round 141"                      "Time (ms)"
"forwarding graph"       0.668
"disjoint edge"            1.593
"loop free"                     1.115
"blackhole"                0.322


"Round 142"                      "Time (ms)"
"forwarding graph"       0.663
"disjoint edge"            2.144
"loop free"                     1.683
"blackhole"                0.501


"Round 143"                      "Time (ms)"
"forwarding graph"       1.038
"disjoint edge"            1.777
"loop free"                     2.123
"blackhole"                0.436


"Round 144"                      "Time (ms)"
"forwarding graph"       1.302
"disjoint edge"            1.785
"loop free"                     1.237
"blackhole"                0.319


"Round 145"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.619
"loop free"                     1.216
"blackhole"                0.3


"Round 146"                      "Time (ms)"
"forwarding graph"       0.645
"disjoint edge"            1.621
"loop free"                     1.15
"blackhole"                0.318


"Round 147"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.649
"loop free"                     1.187
"blackhole"                0.317


"Round 148"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.637
"loop free"                     1.186
"blackhole"                0.304


"Round 149"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            2.51
"loop free"                     1.911
"blackhole"                0.466


"Round 150"                      "Time (ms)"
"forwarding graph"       0.914
"disjoint edge"            1.632
"loop free"                     1.193
"blackhole"                0.32


"Round 151"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.686
"loop free"                     1.248
"blackhole"                0.315


"Round 152"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            2.014
"loop free"                     1.635
"blackhole"                0.515


"Round 153"                      "Time (ms)"
"forwarding graph"       0.91
"disjoint edge"            2.156
"loop free"                     1.699
"blackhole"                0.495


"Round 154"                      "Time (ms)"
"forwarding graph"       0.676
"disjoint edge"            1.791
"loop free"                     1.221
"blackhole"                0.323


"Round 155"                      "Time (ms)"
"forwarding graph"       0.641
"disjoint edge"            1.945
"loop free"                     1.483
"blackhole"                0.661


"Round 156"                      "Time (ms)"
"forwarding graph"       0.829
"disjoint edge"            1.796
"loop free"                     1.556
"blackhole"                0.591


"Round 157"                      "Time (ms)"
"forwarding graph"       1.516
"disjoint edge"            2.826
"loop free"                     1.25
"blackhole"                0.357


"Round 158"                      "Time (ms)"
"forwarding graph"       0.65
"disjoint edge"            2.226
"loop free"                     1.528
"blackhole"                0.602


"Round 159"                      "Time (ms)"
"forwarding graph"       1.056
"disjoint edge"            1.854
"loop free"                     1.186
"blackhole"                0.324


"Round 160"                      "Time (ms)"
"forwarding graph"       0.727
"disjoint edge"            1.66
"loop free"                     1.18
"blackhole"                0.305


"Round 161"                      "Time (ms)"
"forwarding graph"       0.638
"disjoint edge"            1.615
"loop free"                     1.17
"blackhole"                0.298


"Round 162"                      "Time (ms)"
"forwarding graph"       0.641
"disjoint edge"            1.586
"loop free"                     1.233
"blackhole"                0.317


"Round 163"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.79
"loop free"                     1.187
